2018-08-26 14:48:54,573 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-08-26 14:55:20,594 [Worker-5: Creating project "ConsumerApp"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.iago:ConsumerApp:0.0.1-SNAPSHOT @ /home/iago/Documents/projetos/FIAP/ambientes_componentes_desenvolvimento/avaliação/consumer/ConsumerApp/pom.xml.
2018-08-26 14:55:21,133 [Worker-5: Creating project "ConsumerApp"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ConsumerApp/src/main/java
2018-08-26 14:55:21,138 [Worker-5: Creating project "ConsumerApp"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ConsumerApp/src/main/resources
2018-08-26 14:55:21,139 [Worker-5: Creating project "ConsumerApp"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ConsumerApp/src/test/java
2018-08-26 14:55:21,140 [Worker-5: Creating project "ConsumerApp"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ConsumerApp/src/test/resources
2018-08-26 14:55:22,778 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-26 14:55:22,793 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-26 14:55:22,796 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-26 14:55:22,797 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-26 15:01:38,153 [Worker-11: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.iago:ConsumerApp:0.0.1-SNAPSHOT @ /home/iago/Documents/projetos/FIAP/ambientes_componentes_desenvolvimento/avaliação/consumer/ConsumerApp/pom.xml.
2018-08-26 15:01:41,178 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-26 15:01:41,193 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-26 15:01:41,197 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-26 15:01:41,197 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-26 15:01:54,644 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.iago:ConsumerApp:0.0.1-SNAPSHOT @ /home/iago/Documents/projetos/FIAP/ambientes_componentes_desenvolvimento/avaliação/consumer/ConsumerApp/pom.xml.
2018-08-26 15:01:55,080 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-26 15:01:55,083 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-26 15:01:55,086 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-26 15:01:55,087 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-26 15:02:44,211 [Worker-5: Launching Executing install in _home_iago_Documents_projetos_FIAP_ambientes_componentes_desenvolvimento_avaliação_consumer_ConsumerApp] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/iago/Documents/projetos/FIAP/ambientes_componentes_desenvolvimento/avaliação/consumer/ConsumerApp
2018-08-26 15:02:44,213 [Worker-5: Launching Executing install in _home_iago_Documents_projetos_FIAP_ambientes_componentes_desenvolvimento_avaliação_consumer_ConsumerApp] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-08-26 15:02:59,316 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-26 15:02:59,317 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-26 15:02:59,318 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-26 15:02:59,319 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-26 15:03:59,136 [Worker-6: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-26 15:03:59,141 [Worker-6: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
